,credit.policy,int.rate,installment,revol.bal,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,education_or_small_business,major_purchase_or_credit_card,demerits
0,1,0.1189,829.1,28854,0,0,0,0,0,0,0
1,1,0.1071,228.22,33623,0,0,0,0,0,1,0
2,1,0.1357,366.86,3511,1,0,0,0,0,0,1
3,1,0.1008,162.34,33667,1,0,0,0,0,0,1
4,1,0.1426,102.92,4740,0,1,0,0,0,1,1
5,1,0.0788,125.13,50807,0,0,0,0,0,1,0
6,1,0.1496,194.02,3839,0,0,1,1,0,0,1
7,1,0.1114,131.22,24220,0,0,0,1,0,0,0
8,1,0.1134,87.19,69909,1,0,0,0,0,0,1
9,1,0.1221,84.12,5630,1,0,0,0,0,0,1
10,1,0.1347,360.43,13846,2,0,1,0,0,0,3
11,1,0.1324,253.58,5122,2,1,0,0,0,0,3
12,1,0.0859,316.11,6068,0,0,0,0,0,0,0
13,1,0.0714,92.82,3021,0,1,0,0,1,0,1
14,1,0.0863,209.54,6282,0,0,0,0,0,0,0
15,1,0.1103,327.53,5394,1,0,0,0,0,1,1
16,1,0.1317,77.69,2211,0,0,0,0,0,0,0
17,1,0.0894,476.58,7586,1,0,0,0,0,1,1
18,1,0.1039,584.12,8311,0,0,0,0,0,0,0
19,1,0.1513,173.65,591,3,0,0,0,0,1,3
20,1,0.08,188.02,29797,1,0,0,0,0,0,1
21,1,0.0863,474.42,5656,0,0,0,0,0,0,0
22,1,0.1355,339.6,21162,0,0,0,0,0,1,0
23,1,0.0788,484.85,16931,1,0,0,0,0,1,1
24,1,0.1229,320.19,4822,0,0,1,0,0,0,1
25,1,0.0901,159.03,14354,0,2,0,0,0,0,2
26,1,0.0743,155.38,1576,1,0,0,0,0,0,1
27,1,0.1375,255.43,4175,0,1,0,0,0,0,1
28,1,0.0743,155.38,3164,0,0,0,0,0,0,0
29,1,0.0743,155.38,85607,0,0,0,0,0,0,0
30,1,0.0807,156.84,9698,0,0,0,0,0,0,0
31,1,0.1028,275.38,8847,1,1,0,0,0,1,2
32,1,0.0743,155.38,6053,0,0,0,0,0,0,0
33,1,0.0807,78.42,7274,0,0,0,0,0,0,0
34,1,0.087,158.3,66033,0,0,0,0,0,1,0
35,1,0.0743,155.38,3660,0,0,0,0,0,0,0
36,1,0.0743,155.38,216,0,0,0,0,0,1,0
37,1,0.1122,164.23,27185,3,0,1,0,0,1,4
38,1,0.0996,161.25,28329,1,0,0,0,0,0,1
39,1,0.0933,159.77,60568,1,0,0,0,0,0,1
40,1,0.0807,156.84,40934,0,0,0,0,0,0,0
41,1,0.0743,155.38,8379,0,0,0,0,0,0,0
42,1,0.087,94.98,3660,1,0,0,0,1,0,1
43,1,0.1028,97.2,0,0,1,0,0,0,0,1
44,1,0.1122,164.23,15840,0,0,0,0,0,1,0
45,1,0.0838,167.02,6844,0,0,0,0,0,1,0
46,1,0.0775,168.6,1321,0,0,0,0,1,0,0
47,1,0.0838,160.72,4737,0,0,0,0,0,0,0
48,1,0.0901,159.03,23489,0,0,0,0,0,1,0
49,1,0.0743,178.69,2817,0,0,0,0,0,0,0
50,1,0.0743,155.38,1783,1,0,0,0,0,1,1
51,1,0.1028,323.98,3534,0,0,0,0,1,0,0
52,1,0.1059,813.65,2422,0,0,0,0,1,0,0
