,Model,HTuned,Params,TTuned,Threshold,TP,TN,FP,FN
0,Logistic Regression,No,{'Parameters': 'Basic model was used'},No,0.5,5,1609,2,300
1,Logistic Regression,Balanced Accuracy,"{'C': 1, 'l1_ratio': 0.66, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.001}",No,0.5,200,1055,556,105
2,Logistic Regression,Balanced Accuracy,{'Parameters': 'See Logistic Regression HTuned Balanced Accuracy'},Balanced Accuracy,0.4618,230,884,727,75
3,Linear SVC,Balanced Accuracy,"{'C': 1, 'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.001}",No,0.5,197,1071,540,108
4,Linear SVC,Balanced Accuracy,{'Parameters': 'See Linear SVC HTuned Balanced Accuracy'},Balanced Accuracy,-0.0896,228,847,764,77
5,Linear SVC,No,{'Parameters': 'Basic model was used'},No,0.5,2,1610,1,303
6,Native Bayes,No,{'Parameters': 'Basic model was used'},No,0.5,28,1542,69,277
7,KNN,No,{'Parameters': 'Basic model was used'},No,0.5,15,1543,68,290
8,KNN,Balanced Accuracy,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 4}",No,0.5,17,1540,71,288
9,Decision Tree,No,{'Parameters': 'Basic model was used'},No,0.5,72,1349,262,233
10,Decision Tree,Balanced Accuracy,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 12, 'min_samples_leaf': 150, 'min_samples_split': 50}",No,0.5,144,1226,385,161
11,Random Forest,No,{'Parameters': 'Basic model was used'},No,0.5,5,1604,7,300
12,Random Forest,Balanced Accuracy,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 150, 'min_samples_split': 50, 'n_estimators': 15}",No,0.5,194,992,619,111
13,XGBoost,No,{'Parameters': 'Basic model was used'},No,0.5,22,1557,54,283
14,XGBoost,Balanced Accuracy,"{'gamma': 0.1, 'learning_rate': 0.9, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0.5}",No,0.5,43,1480,131,262
15,XGBoost,Accuracy,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 5, 'reg_lambda': 0.5}",No,0.5,5,1606,5,300
16,XGBoost,F1 Weighted,"{'gamma': 0.5, 'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0.75}",No,0.5,30,1555,56,275
17,da,No,{'Parameters': 'Basic model was used'},No,0.5,34,1535,76,271
18,XGBoost,Recall,"{'gamma': 0.1, 'learning_rate': 0.9, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0.5}",No,0.5,43,1480,131,262
