,Model,HTuned,Params,TTuned,Threshold,TP,TN,FP,FN
0,Logistic Regression,No,{'Parameters': 'Basic model was used'},No,0.5,9,6423,11,1219
1,Logistic Regression,Balanced Accuracy,"{'C': [1], 'l1_ratio': [0.66], 'penalty': ['l1'], 'solver': ['liblinear'], 'tol': [0.001]}",No,0.5,719,4178,2256,509
2,Logistic Regression,Balanced Accuracy,{'Parameters': 'See Logistic Regression HTuned Balanced Accuracy'},Balanced Accuracy,0.4618,849,3548,2886,379
3,Linear SVC,No,{'Parameters': 'Basic model was used'},No,0.5,3,6428,6,1225
4,Linear SVC,Balanced Accuracy,"{'C': 1, 'loss': 'squared_hinge', 'penalty': 'l1', 'tol': 0.001}",No,0.5,706,4259,2175,522
5,Linear SVC,Balanced Accuracy,{'Parameters': 'See Linear SVC HTuned Balanced Accuracy'},Balanced Accuracy,-0.0896,870,3419,3015,358
6,Native Bayes,No,{'Parameters': 'Basic model was used'},No,0.5,120,6183,251,1108
7,KNN,No,{'Parameters': 'Basic model was used'},No,0.5,167,6326,108,1061
8,KNN,Balanced Accuracy,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 4}",No,0.5,158,6322,112,1070
9,Decision Tree,No,{'Parameters': 'Basic model was used'},No,0.5,1228,6434,0,0
10,Decision Tree,Balanced Accuracy,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 12, 'min_samples_leaf': 150, 'min_samples_split': 50}",No,0.5,583,4871,1563,645
11,Random Forest,No,{'Parameters': 'Basic model was used'},No,0.5,1228,6434,0,0
12,Random Forest,Balanced Accuracy,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 150, 'min_samples_split': 50, 'n_estimators': 15}",No,0.5,806,4077,2357,422
13,XGBoost,No,{'Parameters': 'Basic model was used'},No,0.5,926,6434,0,302
14,XGBoost,Balanced Accuracy,"{'gamma': 0.1, 'learning_rate': 0.9, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0.5}",No,0.5,924,6412,22,304
15,XGBoost,Accuracy,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 5, 'reg_lambda': 0.5}",No,0.5,23,6426,8,1205
16,XGBoost,F1 Weighted,"{'gamma': 0.5, 'learning_rate': 0.5, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0.75}",No,0.5,479,6419,15,749
17,da,No,{'Parameters': 'Basic model was used'},No,0.5,1214,6434,0,14
18,XGBoost,Recall,"{'gamma': 0.1, 'learning_rate': 0.9, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 0.5}",No,0.5,924,6412,22,304
